zone,model,x_label,y_label,method,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
CW,LPJ-GUESS,P,E_soil,Equal-count bins,0.18257151601456545,0.793533653874597,0.12474027292090192,0.5690485788357975,3.2308483795578065
CW,LPJ-GUESS,P,E_soil,LOWESS,0.2511560500979415,0.86533754947524,0.13602755417264784,0.6157448944219153,3.551194034252724
CW,LPJ-GUESS,P,E_soil,Polynomial degree 3,0.24366322391742945,0.8696559962159321,0.1367063964906744,0.6374370968289598,3.6158305490890656
CW,LPJ-GUESS,P,E_soil,GAM,0.27689612234968686,0.8503353462334287,0.13366926865109374,0.6253681764094821,3.6026454514556363
CW,LPJ-GUESS,P,E_soil,Piecewise linear,0.2618174510987836,0.8591554981822126,0.13505576077518075,0.6332590746596597,3.5511598921007397
CW,LPJ-GUESS,P,E_soil,Symbolic regression,0.21331050676886765,0.8869345270692983,0.13942251148314797,0.6301558163065035,3.571972449165365
CW,CLASSIC,LAI,E_soil,Equal-width bins,0.10350523806841339,1.0104162777163732,0.17401840463924395,0.7316725414262345,3.8342899896257547
CW,CLASSIC,LAI,E_soil,Equal-count bins,0.09327055112068572,0.9424696644531224,0.1623163354015692,0.6755152806159969,3.617124650347591
CW,CLASSIC,LAI,E_soil,LOWESS,0.12655449035995525,0.9345611510861014,0.160954295904039,0.6700482056385656,3.606860775824192
CW,CLASSIC,LAI,E_soil,Polynomial degree 3,0.145524910443666,0.9243565409228024,0.1591968123601316,0.7043148823606283,3.6036176304067404
CW,CLASSIC,LAI,E_soil,GAM,0.1545351961807676,0.9194700384413336,0.15835523707592028,0.6964758526136141,3.575704777176184
CW,CLASSIC,LAI,E_soil,Piecewise linear,0.1443314193358003,0.9250018647981213,0.15930795292044841,0.7015481515209465,3.6164259263011247
CW,CLASSIC,LAI,E_soil,Symbolic regression,0.08156845061067697,0.9583258709996253,0.16504716211893858,0.6958545677017847,3.684150449478265
CW,LPJ-GUESS,LAI,E_soil,Equal-width bins,0.03173721536166085,0.9962425039106102,0.15660528224156578,0.6350033137997626,3.8545784953736963
CW,LPJ-GUESS,LAI,E_soil,Equal-count bins,0.024678051101856613,0.9871738134287253,0.15517972086780168,0.6263930170504411,3.8309170554388867
CW,LPJ-GUESS,LAI,E_soil,LOWESS,0.044976284484743445,0.9772303914037878,0.15361665524216356,0.6224413824421151,3.7958886916759904
CW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,0.018293859152540226,0.9907877777576868,0.15574782140710444,0.7298471389068528,3.847708162657632
CW,LPJ-GUESS,LAI,E_soil,GAM,0.13266697969214358,0.9312854699990902,0.14639429988600738,0.6614344736954468,3.8247854905801675
CW,LPJ-GUESS,LAI,E_soil,Piecewise linear,0.03749062741933051,0.9810527744848873,0.154217518364246,0.726432290177442,3.8089568603972426
CW,LPJ-GUESS,LAI,E_soil,Symbolic regression,-0.0705287832667032,1.0346395151453813,0.16264113672282915,0.6548618899490213,3.8001356888101814
CD,CLASSIC,P,E_soil,Equal-width bins,0.5535091532237257,0.6683457397316975,0.1691562917246306,0.4785278927587391,2.74346475919495
CD,CLASSIC,P,E_soil,Equal-count bins,0.5644860404752678,0.6475880103942908,0.16390257301199412,0.4512255876699909,2.6749694320948847
CD,CLASSIC,P,E_soil,LOWESS,0.5712589074411105,0.6547588900070512,0.16571750102243563,0.469959377690939,2.697040367706567
CD,CLASSIC,P,E_soil,Polynomial degree 3,0.5752808858242755,0.6516805389170038,0.16493837964249247,0.5023997232464602,2.61408232309319
CD,CLASSIC,P,E_soil,GAM,0.5804033423074626,0.647738719942992,0.16394071714439484,0.4947992141270862,2.606791731697387
CD,CLASSIC,P,E_soil,Piecewise linear,0.5764912099609765,0.6507513278410156,0.16470319912064652,0.5077354407188603,2.6196233638195086
CD,CLASSIC,P,E_soil,Symbolic regression,0.5457967127572443,0.6739209930868302,0.17056737153993418,0.47621196394644755,2.7495907867188376
CD,LPJ-GUESS,P,E_soil,Equal-width bins,0.28713753269792064,0.8325517031247758,0.11720487277060193,0.5788015974959179,3.2489004294120654
CD,LPJ-GUESS,P,E_soil,Equal-count bins,0.26112660209052874,0.7714549950079472,0.10860380706542218,0.5467881370281372,2.906652795330563
CD,LPJ-GUESS,P,E_soil,LOWESS,0.2624936097760646,0.8587406218911893,0.12089169351758573,0.5903476209525648,3.422400973132084
CD,LPJ-GUESS,P,E_soil,Polynomial degree 3,0.24629209208791492,0.8681217743418667,0.12221235237312167,0.6347789671180751,3.3760377777229307
CD,LPJ-GUESS,P,E_soil,GAM,0.3109185732630819,0.8300693644443662,0.11685541436685477,0.5912131775650914,3.3747287306888794
CD,LPJ-GUESS,P,E_soil,Piecewise linear,0.28995143447353033,0.8426032707780461,0.11861991126433746,0.6027768749507971,3.3782564727216036
