analysis_group,zone,model,x_label,y_label,method,shape_label,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio,r_squared,nrmse_by_sd,nrmse_by_raw_y_range,mean_buffer_width_by_sd,buffer_width95_by_sd
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Equal-count bins,Monotonic nonlinear,1.768165195900818,1.0,1.278889930366936,0.389599292005523,0.3832079561445141,0.7296514359203343,0.1436774345483765,0.4927013325037978,3.0641109711362535
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,3.8758080521836864,1.0072136730094052,1.0382780392775235,1.071772621544614,0.3691852652252601,0.7942034451436649,0.1563885273024843,0.5152081879133869,3.2630374454493896
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Polynomial degree 3,Monotonic nonlinear,3.7857321364180625,1.0,1.0000000000000002,1.115677492398094,0.4117243761965111,0.7669574644140317,0.15102345513203,0.5364846173839656,3.289651775878473
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,3.0733812609748776,1.1587469482830606,1.1587469482830606,0.3433350874702602,0.4229031243777664,0.7596354321202287,0.1495816559881318,0.5352810840807923,3.252975693896735
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Piecewise linear,Linear,2.78858346043282,1.0,1.0,0.4763159413304694,0.4126819033409055,0.7663330278061756,0.150900495804551,0.5384040604238505,3.287534884581545
all_zones_E_soil,HD,LPJ-GUESS,P,E_soil,Symbolic regression,Monotonic nonlinear,2.7816810896673427,1.0,1.0,0.3899752954388932,0.3755050212488474,0.7902151058433698,0.1556031737342396,0.5206673796342367,3.2845724557449265
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1.5979323656290054,1.651352981284231,1.4762274687980623,0.0278472385324702,-0.0186582885997437,0.8211268886456435,0.2010666452398263,0.6565039289150991,3.010111454290485
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,2.2450335955997174,1.111118051214112,14.552792755089992,0.0164028851008785,0.6087686407651256,0.6271194682673649,0.1535606851909071,0.4738471492469748,2.5765952775363754
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,2.2289198170711444,1.2332620242496928,40.176529364371206,0.0028022452643536,0.6123677832746588,0.6225732423962032,0.1524474657883314,0.4736641972899397,2.5337839433550964
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,4.107980240897854,1.630455430321364,1.6304554303213643,2.0207964886498897,0.4787820512253845,0.7219218726354367,0.1767746386864474,0.5835307753341129,2.7966010290895182
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,GAM,Non-monotonic: U-shaped / inverted-U,2.020554916241223,1.4480692450978598,1.44806924509786,0.0197530763754836,0.5722658009764529,0.6539845769493606,0.1601390561484112,0.5225708490513165,2.601407546628816
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Piecewise linear,Linear,2.377492246481866,1.0,0.9999999999999996,0.152157296545317,0.5746522528124289,0.6521576413267081,0.1596917004208187,0.5044387649581117,2.6799672189858135
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Symbolic regression,Non-monotonic: U-shaped / inverted-U,2.9764437077258776,1.0650993498075914,1.0650993498075914,0.4549067594102531,0.5934827023831415,0.6375584905357127,0.1561168542996091,0.4900231693618417,2.616797793043156
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Equal-width bins,Non-monotonic: U-shaped / inverted-U,1.8066755867857136,1.9407456452611016,1.9638063374127777,0.9965485824308647,0.0795621242369761,0.963207700953962,0.189667565357077,0.6871570150998796,3.695481367110395
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Equal-count bins,Non-monotonic: U-shaped / inverted-U,1.299021754835039,1.1533083910905488,2.058585348869052,0.1046772075597877,0.2270156111459003,0.8543720480338153,0.168236472880379,0.5702789904164031,3.4138408000757057
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,LOWESS,Non-monotonic: U-shaped / inverted-U,1.5386034824194117,1.1966125517049195,3.0990660552740588,0.129505750180378,0.2534515744401752,0.8639922442766577,0.1701308090633539,0.5735099838510997,3.4549790025376157
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,Non-monotonic: U-shaped / inverted-U,2.1416250982413416,1.2764858440271785,1.2764858440271785,0.4328050092139187,0.308807803256622,0.8313430401615197,0.1637017750666039,0.605002067804769,3.5116810122976783
