zone,model,x_label,y_label,method,amplitude_norm_by_y_sd,normalized_total_variation,mean_standardized_absolute_slope,late_to_early_absolute_slope_ratio
HW,CLASSIC,LAI,E_soil,LOWESS,3.117143186252864,1.0247919075583334,1.024816617147289,0.7574948652721731
HW,CLASSIC,LAI,E_soil,Polynomial degree 3,3.2818828155528332,1.0,1.0,1.063049415659096
HW,CLASSIC,LAI,E_soil,GAM,3.049792963384033,1.0522462591560937,1.0522462591560937,0.5251147760964192
HW,CLASSIC,LAI,E_soil,Piecewise linear,3.094820524482071,1.0,1.0,1.137302644820845
HW,CLASSIC,LAI,E_soil,Symbolic regression,3.0385006882127383,1.0878130216148334,1.0878130216148334,1.6878309145621966
HW,LPJ-GUESS,LAI,E_soil,Equal-width bins,1.0283632693915086,1.5748609120619634,1.5750441886734228,0.698640631036307
HW,LPJ-GUESS,LAI,E_soil,Equal-count bins,1.054235381137269,1.486865745311417,1.355979860556901,1.89705220310616
HW,LPJ-GUESS,LAI,E_soil,LOWESS,1.1560938182709144,1.8376089224484096,1.7027212489489625,1.2506475183170709
HW,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,0.9980623518420788,1.9669498558476337,1.9669498558476337,0.2809682163380234
HW,LPJ-GUESS,LAI,E_soil,GAM,1.1688504774670052,1.824511106123191,1.824511106123191,0.3087554965473945
HW,LPJ-GUESS,LAI,E_soil,Piecewise linear,1.2834659603792458,1.5457730449096685,1.5457730449096687,0.9561521209374292
HW,LPJ-GUESS,LAI,E_soil,Symbolic regression,1.28332479879785,1.9469113310605015,1.946911331060502,0.5677420408576006
HD,CLASSIC,P,E_soil,Equal-width bins,2.14967951782253,1.683418616773411,1.6154440227038367,0.2240036718389971
HD,CLASSIC,P,E_soil,Equal-count bins,2.489281655758096,1.0023348099645957,1.6194789420414215,0.1069769143944403
HD,CLASSIC,P,E_soil,LOWESS,2.581533324513754,1.3177772292987098,2.9609157278424476,0.2033307811486929
HD,CLASSIC,P,E_soil,Polynomial degree 3,2.4773108602584357,1.3330036622696002,1.3330036622696004,0.3067780104607548
HD,CLASSIC,P,E_soil,GAM,2.617413593672611,1.4091391770346828,1.409139177034683,0.1140546758026623
HD,CLASSIC,P,E_soil,Piecewise linear,2.390077516697626,1.0,1.0,0.0366037371475688
HD,CLASSIC,P,E_soil,Symbolic regression,3.569510126641247,1.5810473368101674,1.5810473368101707,0.3696100141656395
HD,LPJ-GUESS,P,E_soil,Equal-width bins,2.9661130717823427,1.094812262640214,1.0872457285239276,0.3844371766712074
HD,LPJ-GUESS,P,E_soil,Equal-count bins,1.768165195900818,1.0,1.278889930366936,0.389599292005523
HD,LPJ-GUESS,P,E_soil,LOWESS,3.8758080521836864,1.0072136730094052,1.0382780392775235,1.071772621544614
HD,LPJ-GUESS,P,E_soil,Polynomial degree 3,3.7857321364180625,1.0,1.0000000000000002,1.115677492398094
HD,LPJ-GUESS,P,E_soil,GAM,3.0733812609748776,1.1587469482830606,1.1587469482830606,0.3433350874702602
HD,LPJ-GUESS,P,E_soil,Piecewise linear,2.78858346043282,1.0,1.0,0.4763159413304694
HD,LPJ-GUESS,P,E_soil,Symbolic regression,2.7816810896673427,1.0,1.0,0.3899752954388932
HD,CLASSIC,LAI,E_soil,Equal-width bins,1.5979323656290054,1.651352981284231,1.4762274687980623,0.0278472385324702
HD,CLASSIC,LAI,E_soil,Equal-count bins,2.2450335955997174,1.111118051214112,14.552792755089992,0.0164028851008785
HD,CLASSIC,LAI,E_soil,LOWESS,2.2289198170711444,1.2332620242496928,40.176529364371206,0.0028022452643536
HD,CLASSIC,LAI,E_soil,Polynomial degree 3,4.107980240897854,1.630455430321364,1.6304554303213643,2.0207964886498897
HD,CLASSIC,LAI,E_soil,GAM,2.020554916241223,1.4480692450978598,1.44806924509786,0.0197530763754836
HD,CLASSIC,LAI,E_soil,Piecewise linear,2.377492246481866,1.0,0.9999999999999996,0.152157296545317
HD,CLASSIC,LAI,E_soil,Symbolic regression,2.9764437077258776,1.0650993498075914,1.0650993498075914,0.4549067594102531
HD,LPJ-GUESS,LAI,E_soil,Equal-width bins,1.8066755867857136,1.9407456452611016,1.9638063374127777,0.9965485824308647
HD,LPJ-GUESS,LAI,E_soil,Equal-count bins,1.299021754835039,1.1533083910905488,2.058585348869052,0.1046772075597877
HD,LPJ-GUESS,LAI,E_soil,LOWESS,1.5386034824194117,1.1966125517049195,3.0990660552740588,0.129505750180378
HD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,2.1416250982413416,1.2764858440271785,1.2764858440271785,0.4328050092139187
HD,LPJ-GUESS,LAI,E_soil,GAM,1.7376071684430694,1.6391040091516695,1.639104009151669,0.5371556783765954
HD,LPJ-GUESS,LAI,E_soil,Piecewise linear,1.7538346448724305,1.0,1.0000000000000002,0.0704631907157794
HD,LPJ-GUESS,LAI,E_soil,Symbolic regression,1.2779754876756837,1.4607740007721084,1.4607740007721086,0.2699166260585313
CW,CLASSIC,P,E_soil,Equal-width bins,1.24347957431253,1.840366511120549,1.8305531717864023,0.6005302212125497
CW,CLASSIC,P,E_soil,Equal-count bins,0.8383511703586808,2.4540840306060288,3.284880457851988,0.0563729179793717
CW,CLASSIC,P,E_soil,LOWESS,1.341023693061287,2.34450885076568,5.0600317783840065,0.3560946978567879
CW,CLASSIC,P,E_soil,Polynomial degree 3,1.004925154205586,1.4430557645046735,1.4430557645046738,1.179404851971031
CW,CLASSIC,P,E_soil,GAM,1.6876885631602276,3.018944537536571,3.0189445375365707,33.00916536032349
CW,CLASSIC,P,E_soil,Piecewise linear,1.7489819112924492,1.0,1.0,2.4100448478809584
CW,CLASSIC,P,E_soil,Symbolic regression,1.148309677313366,1.0,1.0,0.1773741296985772
CW,LPJ-GUESS,P,E_soil,Equal-width bins,2.5673823034003975,1.9597708003936565,1.8961793951385693,5.367105118405395
CW,LPJ-GUESS,P,E_soil,Equal-count bins,1.5128601141245506,1.174040379035977,1.113390943693792,11.69479397303684
CW,LPJ-GUESS,P,E_soil,LOWESS,2.7446593446666334,1.4247778700087437,1.158314654265196,1.3685300396837567
