model,climate_zone,input_var,output_var,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant,n_samples,significant_years,significant_pct
LPJ-GUESS,CD,precipitation,tran,0.22337931679438253,0.22502957148347322,0.00806624384023964,0.20946056408692543,0.24054129330536686,30,10702.0,30,100.0
LPJ-GUESS,CW,lai,evapotrans,0.3672583226637461,0.3685868555181095,0.003841435722158398,0.36139143230800985,0.37621699697966815,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,lai,evspsblsoi,0.16692856556311547,0.1697010616990487,0.005875800507114731,0.15869365706768102,0.18112297007926143,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,lai,evspsblveg,0.5324726613801124,0.5331997322224782,0.0036187237365609124,0.5262009241891855,0.5401161139015085,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,lai,tran,0.3907844415071521,0.3920417682838721,0.0037499558668397464,0.385014353391454,0.3994834455854531,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,evapotrans,0.2482397285181614,0.25007533603384,0.006070441306615835,0.23849020995911893,0.26190590187432067,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,evspsblsoi,0.11865512427412388,0.12138456242053249,0.005082991507665392,0.11165342285280633,0.1312883112133704,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,evspsblveg,0.22526451210661147,0.22736614796237725,0.006093746747697318,0.2156307559342541,0.23926747951025326,30,22374.933333333334,30,100.0
LPJ-GUESS,CW,precipitation,tran,0.22577177647516897,0.22763963999201156,0.006274058382613413,0.2157703831661902,0.2398645786926539,30,22374.933333333334,30,100.0
LPJ-GUESS,HD,lai,evapotrans,0.5060935650419321,0.5079374389126257,0.00510667382475265,0.49816087390053837,0.5176758304372114,30,11876.4,30,100.0
LPJ-GUESS,HD,lai,evspsblsoi,0.22393366078487958,0.22775698857754528,0.007658397378868243,0.21305878633921121,0.24250232347385833,30,11876.4,30,100.0
LPJ-GUESS,HD,lai,evspsblveg,0.5700861344019341,0.5715378996135007,0.003975752187759202,0.5639536801558067,0.5791969426575925,30,11876.4,30,100.0
LPJ-GUESS,HD,lai,tran,0.5651482144548107,0.5667521963579031,0.004257953127827427,0.5584545089403041,0.5750260830537665,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,evapotrans,0.48358020336623414,0.4856071171097055,0.0054139381170980865,0.47512646462613156,0.49585991236872984,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,evspsblsoi,0.2670278863138657,0.27068748949170635,0.0073045026764990756,0.2565336466596813,0.2848093921101246,30,11876.4,30,100.0
LPJ-GUESS,HD,precipitation,evspsblveg,0.4622420262617913,0.4646954445792128,0.005721402319717723,0.45360060249816586,0.47558849942120357,30,11876.4,30,100.0
