model,year,climate_zone,output_var,input_var,n_samples,pawn_original,pawn_boot_mean,pawn_boot_std,pawn_ci_lower,pawn_ci_upper,pawn_significant
CLASSIC,1993,CW,evapotrans,precipitation,22453,0.3289035914026983,0.330705657556272,0.0054114398370779535,0.3205286604409936,0.34152119664821173,True
CLASSIC,1993,CW,evapotrans,lai,22453,0.28270873570399024,0.2835861016030431,0.004325567520618497,0.275444333425438,0.2923781738594648,True
CLASSIC,1993,CW,tran,precipitation,22453,0.2689821047623576,0.26988966050298197,0.00623715025685489,0.25659919170673257,0.2841188977626575,True
CLASSIC,1993,CW,tran,lai,22453,0.4295767540946954,0.430807865941191,0.003763181410769506,0.4246243202586539,0.43860222713672087,True
CLASSIC,1993,CW,evspsblveg,precipitation,22453,0.3121963331053593,0.31329251911480877,0.005772132912095932,0.30246908945748935,0.32420037628767134,True
CLASSIC,1993,CW,evspsblveg,lai,22453,0.5307481592084906,0.5313307679538241,0.0032010960322466603,0.5248272176493933,0.5370854377886848,True
CLASSIC,1993,CW,evspsblsoi,precipitation,22453,0.10730892384327499,0.11058538452141291,0.004946689468931483,0.10187819856979942,0.12074905360965642,True
CLASSIC,1993,CW,evspsblsoi,lai,22453,0.18256345821913372,0.18411045285281477,0.005054389866954303,0.17553173885636847,0.19447025588343075,True
CLASSIC,1993,CD,evapotrans,precipitation,13313,0.33032021538967776,0.33201423391998347,0.006771180491529381,0.3210953745709777,0.3453463987266386,True
CLASSIC,1993,CD,evapotrans,lai,13313,0.39320816047628154,0.3940658695391739,0.005845058523887052,0.3830248672896339,0.40743208768951783,True
CLASSIC,1993,CD,tran,precipitation,13313,0.3032828357308379,0.3039422816214442,0.007214011612692895,0.2905836348679987,0.3194783546987652,True
CLASSIC,1993,CD,tran,lai,13313,0.48807910651271363,0.48938956024025004,0.008602227952279776,0.4780994501418729,0.5026778814597825,True
CLASSIC,1993,CD,evspsblveg,precipitation,13313,0.3170478578191842,0.3204186785939573,0.005807350180446406,0.30847962551016705,0.3318281846542377,True
CLASSIC,1993,CD,evspsblveg,lai,13313,0.5167429258996379,0.518296853835795,0.008035787847835619,0.5098547822405114,0.5281678268283048,True
CLASSIC,1993,CD,evspsblsoi,precipitation,13313,0.3164214200713697,0.31999939821571316,0.006558471631954723,0.3085534901409831,0.3328491567524362,True
CLASSIC,1993,CD,evspsblsoi,lai,13313,0.36416885299292545,0.36476617634469855,0.007290950163115796,0.352483518614651,0.3805222917232993,True
CLASSIC,1994,HW,evapotrans,precipitation,13255,0.294649923730588,0.29633719276913795,0.006489267856418413,0.2832464864888997,0.3095369390377631,True
CLASSIC,1994,HW,evapotrans,lai,13255,0.3527699214787329,0.354378258024599,0.007665408714668445,0.3391059073842681,0.3687813520548293,True
CLASSIC,1994,HW,tran,precipitation,13255,0.23522963924889237,0.24098293898097523,0.007603654747331077,0.2246923613069636,0.25602243548064696,True
CLASSIC,1994,HW,tran,lai,13255,0.4070858033025473,0.40834416883176344,0.006060868686837119,0.3971453335778776,0.4184217320345399,True
CLASSIC,1994,HW,evspsblveg,precipitation,13255,0.38658843289890066,0.38937850642487587,0.0064186865664049965,0.3760797321000608,0.4015908208452506,True
CLASSIC,1994,HW,evspsblveg,lai,13255,0.4492538744308332,0.4519001015491337,0.005380032530269409,0.4422622476519833,0.46170027712810624,True
