model,year,climate_zone,input_var,output_var,hsic,n_samples
CLASSIC,1998,HD,lai,evapotrans,0.6518898938295411,11823
CLASSIC,1998,HD,precipitation,tran,0.4573330587909483,11823
CLASSIC,1998,HD,lai,tran,0.8607654554761985,11823
CLASSIC,1998,HD,precipitation,evspsblveg,0.5241467627338782,11823
CLASSIC,1998,HD,lai,evspsblveg,0.8241632172880549,11823
CLASSIC,1998,HD,precipitation,evspsblsoi,0.5712267888865218,11823
CLASSIC,1998,HD,lai,evspsblsoi,0.34788848779781517,11823
CLASSIC,1998,CW,precipitation,evapotrans,0.32391000056668656,22463
CLASSIC,1998,CW,lai,evapotrans,0.23440168558000832,22463
CLASSIC,1998,CW,precipitation,tran,0.28679521549155595,22463
CLASSIC,1998,CW,lai,tran,0.42083289963102094,22463
CLASSIC,1998,CW,precipitation,evspsblveg,0.42141348661396383,22463
CLASSIC,1998,CW,lai,evspsblveg,0.7736266708351394,22463
CLASSIC,1998,CW,precipitation,evspsblsoi,0.06000505289157793,22463
CLASSIC,1998,CW,lai,evspsblsoi,0.14366147944242585,22463
CLASSIC,1998,CD,precipitation,evapotrans,0.44971555567127447,13384
CLASSIC,1998,CD,lai,evapotrans,0.5245942058731159,13384
CLASSIC,1998,CD,precipitation,tran,0.29834738247517884,13384
CLASSIC,1998,CD,lai,tran,0.7826555432212844,13384
CLASSIC,1998,CD,precipitation,evspsblveg,0.3908913257108157,13384
CLASSIC,1998,CD,lai,evspsblveg,0.7573176487815652,13384
CLASSIC,1998,CD,precipitation,evspsblsoi,0.42528095670292143,13384
CLASSIC,1998,CD,lai,evspsblsoi,0.3999219410624146,13384
CLASSIC,1999,HW,precipitation,evapotrans,0.38042005407542084,13252
CLASSIC,1999,HW,lai,evapotrans,0.5211489761263659,13252
CLASSIC,1999,HW,precipitation,tran,0.1856787970949515,13252
CLASSIC,1999,HW,lai,tran,0.5785728948737238,13252
CLASSIC,1999,HW,precipitation,evspsblveg,0.4929135029183804,13252
CLASSIC,1999,HW,lai,evspsblveg,0.6700852331732786,13252
CLASSIC,1999,HW,precipitation,evspsblsoi,0.13053159865990235,13252
CLASSIC,1999,HW,lai,evspsblsoi,0.5223090215442456,13252
CLASSIC,1999,HD,precipitation,evapotrans,0.6214677770081782,11832
CLASSIC,1999,HD,lai,evapotrans,0.6121569872705593,11832
CLASSIC,1999,HD,precipitation,tran,0.47253744760449645,11832
CLASSIC,1999,HD,lai,tran,0.8578766112351899,11832
CLASSIC,1999,HD,precipitation,evspsblveg,0.5034923351891702,11832
CLASSIC,1999,HD,lai,evspsblveg,0.8290418077097055,11832
CLASSIC,1999,HD,precipitation,evspsblsoi,0.4945560541952519,11832
CLASSIC,1999,HD,lai,evspsblsoi,0.3185843214744901,11832
CLASSIC,1999,CW,precipitation,evapotrans,0.28025593194474885,22423
CLASSIC,1999,CW,lai,evapotrans,0.2607390250812792,22423
CLASSIC,1999,CW,precipitation,tran,0.21838111070417282,22423
CLASSIC,1999,CW,lai,tran,0.49486239662271125,22423
CLASSIC,1999,CW,precipitation,evspsblveg,0.35429600117655885,22423
CLASSIC,1999,CW,lai,evspsblveg,0.789537048496574,22423
CLASSIC,1999,CW,precipitation,evspsblsoi,0.03527023063309526,22423
CLASSIC,1999,CW,lai,evspsblsoi,0.1297907066639274,22423
CLASSIC,1999,CD,precipitation,evapotrans,0.423942246667232,12999
CLASSIC,1999,CD,lai,evapotrans,0.536225140682865,12999
CLASSIC,1999,CD,precipitation,tran,0.30166960880718496,12999
CLASSIC,1999,CD,lai,tran,0.8030505365119637,12999
CLASSIC,1999,CD,precipitation,evspsblveg,0.3691592964194508,12999
CLASSIC,1999,CD,lai,evspsblveg,0.7934059698091632,12999
CLASSIC,1999,CD,precipitation,evspsblsoi,0.3986797373164411,12999
CLASSIC,1999,CD,lai,evspsblsoi,0.390397573822662,12999
CLASSIC,2000,HW,precipitation,evapotrans,0.36179859850258184,13229
CLASSIC,2000,HW,lai,evapotrans,0.4616393700537571,13229
CLASSIC,2000,HW,precipitation,tran,0.23105949426651803,13229
CLASSIC,2000,HW,lai,tran,0.5881744751367646,13229
CLASSIC,2000,HW,precipitation,evspsblveg,0.4426622457934201,13229
CLASSIC,2000,HW,lai,evspsblveg,0.654318890609896,13229
CLASSIC,2000,HW,precipitation,evspsblsoi,0.13518906510591042,13229
CLASSIC,2000,HW,lai,evspsblsoi,0.5302663556214819,13229
CLASSIC,2000,HD,precipitation,evapotrans,0.6925980603798949,11830
CLASSIC,2000,HD,lai,evapotrans,0.5574038491418017,11830
CLASSIC,2000,HD,precipitation,tran,0.4675342259211552,11830
CLASSIC,2000,HD,lai,tran,0.8692655631503684,11830
CLASSIC,2000,HD,precipitation,evspsblveg,0.5257592328525619,11830
CLASSIC,2000,HD,lai,evspsblveg,0.8362648561958347,11830
CLASSIC,2000,HD,precipitation,evspsblsoi,0.5270127668851463,11830
CLASSIC,2000,HD,lai,evspsblsoi,0.3013325826242228,11830
CLASSIC,2000,CW,precipitation,evapotrans,0.3372608188760355,22356
CLASSIC,2000,CW,lai,evapotrans,0.2309484125541539,22356
CLASSIC,2000,CW,precipitation,tran,0.2781899999307858,22356
CLASSIC,2000,CW,lai,tran,0.4694276181204586,22356
CLASSIC,2000,CW,precipitation,evspsblveg,0.38726423637242724,22356
CLASSIC,2000,CW,lai,evspsblveg,0.7641541474030482,22356
CLASSIC,2000,CW,precipitation,evspsblsoi,0.04388390525706415,22356
CLASSIC,2000,CW,lai,evspsblsoi,0.16004357717751058,22356
CLASSIC,2000,CD,precipitation,evapotrans,0.45856601358810856,13548
CLASSIC,2000,CD,lai,evapotrans,0.5445722530495596,13548
CLASSIC,2000,CD,precipitation,tran,0.3250358953880095,13548
CLASSIC,2000,CD,lai,tran,0.7862412267473283,13548
CLASSIC,2000,CD,precipitation,evspsblveg,0.41467111475519336,13548
CLASSIC,2000,CD,lai,evspsblveg,0.8123668402845845,13548
CLASSIC,2000,CD,precipitation,evspsblsoi,0.4233904741994863,13548
CLASSIC,2000,CD,lai,evspsblsoi,0.39533378874010056,13548
CLASSIC,2001,HW,precipitation,evapotrans,0.38818242464061525,13234
CLASSIC,2001,HW,lai,evapotrans,0.4344715688280316,13234
CLASSIC,2001,HW,precipitation,tran,0.20670587507483196,13234
CLASSIC,2001,HW,lai,tran,0.553435767230454,13234
CLASSIC,2001,HW,precipitation,evspsblveg,0.5214519812367434,13234
CLASSIC,2001,HW,lai,evspsblveg,0.551731815530175,13234
CLASSIC,2001,HW,precipitation,evspsblsoi,0.13925387325615532,13234
CLASSIC,2001,HW,lai,evspsblsoi,0.5009937094563656,13234
CLASSIC,2001,HD,precipitation,evapotrans,0.6650744972482248,11827
CLASSIC,2001,HD,lai,evapotrans,0.6577412619529023,11827
CLASSIC,2001,HD,precipitation,tran,0.5184256244873673,11827
CLASSIC,2001,HD,lai,tran,0.8746293275460023,11827
CLASSIC,2001,HD,precipitation,evspsblveg,0.5661525310304332,11827
CLASSIC,2001,HD,lai,evspsblveg,0.8528926739254464,11827
CLASSIC,2001,HD,precipitation,evspsblsoi,0.5624071162063747,11827
CLASSIC,2001,HD,lai,evspsblsoi,0.3751088180578585,11827
CLASSIC,2001,CW,precipitation,evapotrans,0.27034737324621333,22313
CLASSIC,2001,CW,lai,evapotrans,0.1976413416486993,22313
CLASSIC,2001,CW,precipitation,tran,0.2561819199691739,22313
CLASSIC,2001,CW,lai,tran,0.5122139521018523,22313
CLASSIC,2001,CW,precipitation,evspsblveg,0.3353916939061107,22313
CLASSIC,2001,CW,lai,evspsblveg,0.6557589374443574,22313
CLASSIC,2001,CW,precipitation,evspsblsoi,0.023722493813036125,22313
CLASSIC,2001,CW,lai,evspsblsoi,0.1446787262165586,22313
CLASSIC,2001,CD,precipitation,evapotrans,0.38705422058555267,13167
CLASSIC,2001,CD,lai,evapotrans,0.5058596721981207,13167
CLASSIC,2001,CD,precipitation,tran,0.27237291048314854,13167
CLASSIC,2001,CD,lai,tran,0.7918216678290381,13167
CLASSIC,2001,CD,precipitation,evspsblveg,0.358424901583534,13167
CLASSIC,2001,CD,lai,evspsblveg,0.7959524652761075,13167
CLASSIC,2001,CD,precipitation,evspsblsoi,0.33295100021779017,13167
CLASSIC,2001,CD,lai,evspsblsoi,0.3691348133624963,13167
CLASSIC,2002,HW,precipitation,evapotrans,0.2749343694452338,13266
CLASSIC,2002,HW,lai,evapotrans,0.49588641600427347,13266
CLASSIC,2002,HW,precipitation,tran,0.19935110365466926,13266
CLASSIC,2002,HW,lai,tran,0.5915140906743119,13266
CLASSIC,2002,HW,precipitation,evspsblveg,0.4412217262083737,13266
CLASSIC,2002,HW,lai,evspsblveg,0.6626334565359359,13266
CLASSIC,2002,HW,precipitation,evspsblsoi,0.136276944927545,13266
CLASSIC,2002,HW,lai,evspsblsoi,0.4767241590881538,13266
CLASSIC,2002,HD,precipitation,evapotrans,0.6996990815377838,11825
CLASSIC,2002,HD,lai,evapotrans,0.6427965876592863,11825
CLASSIC,2002,HD,precipitation,tran,0.5346580570181393,11825
CLASSIC,2002,HD,lai,tran,0.8612940217006476,11825
CLASSIC,2002,HD,precipitation,evspsblveg,0.6128167355421513,11825
CLASSIC,2002,HD,lai,evspsblveg,0.8284129525864101,11825
CLASSIC,2002,HD,precipitation,evspsblsoi,0.5777924741987375,11825
CLASSIC,2002,HD,lai,evspsblsoi,0.3582906206444968,11825
CLASSIC,2002,CW,precipitation,evapotrans,0.2509861502469264,22365
CLASSIC,2002,CW,lai,evapotrans,0.24921106275637894,22365
CLASSIC,2002,CW,precipitation,tran,0.18311436585681798,22365
CLASSIC,2002,CW,lai,tran,0.42573960332924565,22365
CLASSIC,2002,CW,precipitation,evspsblveg,0.36336233437709214,22365
CLASSIC,2002,CW,lai,evspsblveg,0.7870404236055298,22365
CLASSIC,2002,CW,precipitation,evspsblsoi,0.026710446464243875,22365
CLASSIC,2002,CW,lai,evspsblsoi,0.12121158458117207,22365
