property,case_a_source_property,case_b_source_property,case_a,case_b,metric,case_a_value,case_b_value,observed_difference,baseline_source_property,baseline_case,baseline_side,baseline_mean,baseline_sd,baseline_min,baseline_max,baseline_q025,baseline_q975,baseline_95_width,baseline_range,baseline_n_valid,ratio_to_baseline_95_width,ratio_to_baseline_sd,larger_than_baseline_95_width,larger_than_baseline_range,observed_minus_baseline95
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,MIC_minus_r2,0.0365,0.1367,0.1002,Convexity / Concavity,Concave,1,0.1448,0.0211,0.0527,0.1896,0.0974,0.1758,0.0784,0.1369,1000,1.2787,4.7438,True,False,0.0218
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,raw_overall_slope,0.6814,0.9085,0.2271,Convexity / Concavity,Concave,1,0.8579,0.0534,0.7052,1.0,0.7503,0.9619,0.2115,0.2948,1000,1.0737,4.2526,True,False,0.0156
Concavity,Direction,Convexity / Concavity,Positive direction,Concave,lowess_r2,0.965,0.977,0.012,Convexity / Concavity,Concave,1,0.9764,0.0026,0.9662,0.9857,0.971,0.9813,0.0103,0.0195,1000,1.165,4.5505,True,False,0.0017
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,raw_late_slope,0.8242,1.6929,0.8687,Convexity / Concavity,Convex,0,1.7527,0.1621,1.1786,2.2367,1.419,2.068,0.6491,1.0581,1000,1.3384,5.3585,True,False,0.2196
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,standardized_early_slope,0.7887,-0.0602,0.8489,Convexity / Concavity,Convex,0,0.111,0.1777,-0.4342,0.629,-0.2295,0.455,0.6845,1.0631,1000,1.2402,4.7761,True,False,0.1644
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,equal_width_bin_amplitude,0.6154,0.7462,0.1308,Convexity / Concavity,Convex,0,0.756,0.0118,0.7134,0.7949,0.7337,0.7787,0.045,0.0815,1000,2.9046,11.1191,True,True,0.0858
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,lowess_curve_amplitude,0.6817,0.8309,0.1492,Convexity / Concavity,Convex,0,0.856,0.017,0.8054,0.9152,0.8223,0.8907,0.0684,0.1098,1000,2.1803,8.7638,True,True,0.0808
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,pearson_r,0.9816,0.9147,0.0669,Convexity / Concavity,Convex,0,0.9149,0.0046,0.8996,0.9271,0.9058,0.9238,0.018,0.0275,1000,3.715,14.5579,True,True,0.0489
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,MIC_minus_r2,0.0365,0.1471,0.1106,Convexity / Concavity,Convex,0,0.1445,0.021,0.071,0.1838,0.0986,0.1748,0.0761,0.1128,1000,1.4529,5.2734,True,False,0.0345
Convexity,Direction,Convexity / Concavity,Positive direction,Convex,distance_correlation,0.9809,0.9368,0.0441,Convexity / Concavity,Convex,0,0.9365,0.0041,0.9233,0.9476,0.9281,0.9439,0.0158,0.0243,1000,2.7834,10.8639,True,True,0.0283
