target_output,model,x,y,relationship,binning,bin_id,x_left,x_right,x_center,x_median,n_bin,y_q05,y_q25,y_median,y_q75,y_q95,bin_buffer90,bin_buffer50
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,3,1.8561,2.1031,1.9796,1.9726,603,185.11,247.3324,280.6846,304.9448,348.5033,163.3932,57.6124
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,4,2.1031,2.3788,2.2409,2.2461,602,194.4998,273.1303,300.9054,327.5496,370.0011,175.5013,54.4193
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,5,2.3788,2.6839,2.5313,2.5383,602,211.4333,281.4254,315.9659,351.1832,398.8085,187.3752,69.7577
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,6,2.6839,3.0291,2.8565,2.8561,603,210.8822,292.8745,331.9281,377.0828,447.2741,236.3919,84.2084
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,7,3.0291,3.4053,3.2172,3.2147,602,231.5649,307.3577,351.3013,402.0214,485.7017,254.1368,94.6638
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,8,3.4053,3.7415,3.5734,3.5794,602,252.1823,317.2939,358.5806,417.4402,529.2051,277.0228,100.1463
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,9,3.7415,4.0398,3.8906,3.8961,602,257.7635,324.555,376.047,433.1549,554.8154,297.052,108.5999
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,10,4.0398,4.3166,4.1782,4.1765,603,287.4555,337.6596,398.5729,469.2305,583.126,295.6705,131.5709
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,11,4.3166,4.5628,4.4397,4.4396,602,272.3669,348.7927,410.6822,490.0039,620.2774,347.9104,141.2112
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,12,4.5628,4.8081,4.6854,4.6826,602,296.4927,375.0043,438.2228,525.1753,620.4181,323.9255,150.171
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,13,4.8081,5.0588,4.9334,4.9321,603,287.4813,397.4457,455.246,534.8676,625.2695,337.7882,137.4218
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,14,5.0588,5.2986,5.1787,5.1867,602,326.4463,418.227,463.9481,547.5701,641.9642,315.518,129.3431
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,15,5.2986,5.5656,5.4321,5.4364,602,350.4513,420.5321,474.1958,541.9273,650.0264,299.5751,121.3952
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,16,5.5656,5.8197,5.6927,5.6912,603,349.8667,427.2203,491.8052,567.9493,650.1341,300.2674,140.729
T,CLASSIC,LAI,T,CLASSIC | LAI→T,Equal-count bins,17,5.8197,6.0621,5.9409,5.9565,602,362.4259,452.8979,517.5121,595.2808,674.7519,312.326,142.3829
