analysis_group,zone,model,x_label,y_label,method,n_raw_points,n_curve_points,tightness_n_raw,tightness_n_predicted,tightness_prediction_fraction,r_squared,rmse,normalized_rmse_raw_y_range,normalized_rmse_raw_y_std,residual_variance,residual_standard_deviation,mean_absolute_residual,median_absolute_residual,residual_iqr,residual_90_interval_width,residual_95_interval_width,mean_buffer_width,median_buffer_width,buffer_width_90,buffer_width_95,early_mean_absolute_residual,early_median_absolute_residual,early_rmse,early_residual_variance,early_buffer_width_90,early_buffer_width_95,middle_mean_absolute_residual,middle_median_absolute_residual,middle_rmse,middle_residual_variance,middle_buffer_width_90,middle_buffer_width_95,late_mean_absolute_residual,late_median_absolute_residual,late_rmse,late_residual_variance,late_buffer_width_90,late_buffer_width_95
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,LOWESS,11147,9723,11147,11147,1.0,0.6123677832746588,71.48452428328801,0.1524474657883314,0.6225732423962032,5095.909977297454,71.38564265521082,54.38662876511591,41.131080671377035,81.74295387686523,244.3896672077153,290.9317771676807,54.38662876511591,41.131080671377035,244.3896672077153,290.9317771676807,53.04098907293342,39.256014077223504,70.41440750679956,4937.0039958417565,240.7545713490734,285.60657753042136,66.30126423235532,58.99463725847528,80.74941364223903,6513.989047569038,274.1437871406537,306.01900689079787,49.239702425524115,36.41836318951394,61.58953094981702,3797.6436133033862,203.66676616672183,238.2790530248305
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Polynomial degree 3,11147,300,11147,11147,1.0,0.4787820512253845,82.8918400611291,0.1767746386864474,0.7219218726354367,6871.673572889717,82.89555822171485,67.00162653773516,60.84344621362786,120.21641406515768,257.19297237321314,321.10871550659033,67.00162653773516,60.84344621362786,257.19297237321314,321.10871550659033,66.31867636723604,60.7163709311385,81.82731403747786,6696.36807215407,249.1662169877821,308.37387739715,69.64059583294426,59.49295543706262,86.92102262937047,7561.677347938853,297.6143907312683,337.9297558097188,102.43499416402794,97.84089135708268,126.07281183234733,15749.17926167661,419.4382193780922,476.12586838362745
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,GAM,11147,300,11147,11147,1.0,0.5722658009764529,75.09120724799963,0.1601390561484112,0.6539845769493606,5639.193412795581,75.09456313739085,60.002142727769574,48.87747240199295,97.04270064326592,253.81482638808563,298.6963914831596,60.002142727769574,48.87747240199295,253.81482638808563,298.6963914831596,59.34864739421304,48.1144402952916,74.56302890918018,5560.205672462538,252.00709395402737,296.4285447495838,66.60812500497745,59.75710365454674,80.54112084601421,6491.413173092286,268.00122396234957,303.6207002729146,48.35113755822432,40.47679777475193,60.66915223150886,3711.3239091248047,200.09086186286936,239.49375453097116
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Piecewise linear,11147,300,11147,11147,1.0,0.5746522528124289,74.88143654956927,0.1596917004208187,0.6521576413267081,5607.7325850772795,74.88479541987999,57.92019747635056,43.350842587949195,87.34459963191492,263.91076036951654,307.7166969249361,57.92019747635056,43.350842587949195,263.91076036951654,307.7166969249361,56.79903783354438,42.167449137634435,73.89353401430212,5455.152777850106,261.0465476538793,305.7627416439731,67.26924942574203,62.13563348943307,82.90535480872126,6604.5704474253025,268.2389769402747,298.39556428931405,60.08414244718771,50.06010854747498,73.74952365540517,3838.967862889174,209.99027010301825,236.44597927821587
all_zones_E_soil,HD,CLASSIC,LAI,E_soil,Symbolic regression,11147,300,11147,11147,1.0,0.5934827023831415,73.20514647128456,0.1561168542996091,0.6375584905357127,5356.828086896557,73.19035514940856,56.26498340146775,42.69920821679841,85.21948680950561,255.2109803223007,300.4635160054042,56.26498340146775,42.69920821679841,255.2109803223007,300.4635160054042,54.92923891373361,40.69993499545935,72.13961720078217,5197.657936816938,251.59870775687912,299.168255250386,66.63815384357754,59.36118751128555,80.92090498278957,6547.2949642991025,265.95105511275125,300.85679699866887,67.38590786780884,60.978994399403206,82.45577319517842,4502.514834900018,221.7342506035747,250.5351259000933
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Equal-width bins,11341,10,11341,8938,0.7881139229344855,0.0795621242369761,41.58751480271857,0.1898510390621325,0.9593408651090236,1591.2644080968207,39.89065564887121,29.668733450693253,20.467641705657467,46.77482376734548,128.81214118455333,159.5563302760802,29.668733450693253,20.467641705657467,128.81214118455333,159.5563302760802,27.362605673083888,18.947216457426,39.01617975162278,1383.855437234791,117.73185703104669,148.3909024312345,35.23391715945399,24.79735129109747,48.15839279879996,2092.4722680154377,150.15938753230822,174.83400012393324,47.94620117900227,50.183278657857784,53.929980854635886,2885.192077377468,153.3107607962637,181.81716255578473
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Equal-count bins,11341,10,11341,10207,0.9000088175645886,0.2270156111459003,36.888419973641334,0.168236472880379,0.8791522382630917,1261.8954436804424,35.523167703351604,24.622400684849936,15.608952903743056,35.28110699084169,116.39962642777408,147.3961998711832,24.622400684849936,15.608952903743056,116.39962642777408,147.3961998711832,20.836476189369993,12.927185634408463,31.513939315244315,922.5468575108736,95.63162809106544,123.8279406243284,31.1705970920638,19.864230268973607,45.07628825537176,1838.091914212171,141.73674792291837,165.88432615132427,33.93498430425255,23.922965714481165,46.75139568023638,2072.510814239553,150.3240327839119,172.17820705932914
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,LOWESS,11341,11339,11341,11341,1.0,0.2534515744401752,37.303782156956544,0.1701308090633539,0.8639922442766577,1312.457506739285,36.227855398012245,24.76190225565326,16.276157461041898,35.33812851683275,118.50883098497248,149.17238542508554,24.76190225565326,16.276157461041898,118.50883098497248,149.17238542508554,21.81343152672604,14.40270549974741,33.74012616656266,1084.1727539025048,107.04484981865556,137.79087634908086,35.352716174450975,24.35480530337388,48.73223194902521,2113.357139278606,148.86901015260403,173.06233687135745,47.73794905607919,42.69839685191015,53.978081897584175,2827.327257246401,146.8811008427354,168.41148375450013
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,Polynomial degree 3,11341,300,11341,11341,1.0,0.308807803256622,35.894118116593795,0.1637017750666039,0.8313430401615197,1288.5013285117734,35.89570069676553,26.12160640491885,20.42337739292831,36.40926851331175,118.77142046602587,151.62055487795124,26.12160640491885,20.42337739292831,118.77142046602587,151.62055487795124,22.961305274015388,17.420785436481548,32.49312971297911,1055.8672855479333,104.51287538262292,137.24838325378454,37.89584589615448,33.17397356602594,46.35335361526561,2147.224559781042,149.86467083984328,173.47606523967673,48.16922331282925,44.90247664609651,54.30807577508252,2949.6805872922546,153.303212465614,178.72862514721447
all_zones_E_soil,HD,LPJ-GUESS,LAI,E_soil,GAM,11341,300,11341,11341,1.0,0.3201881403677127,35.59739705490598,0.1623485236971132,0.8244706888558762,1267.2864208666376,35.5989665702059,25.749366125617453,20.074239367086136,36.92376901939316,118.3148875166809,150.54252073988965,25.749366125617453,20.074239367086136,118.3148875166809,150.54252073988965,22.771657415484093,17.1444547696588,32.33902011148566,1045.9024647659537,106.30248412013792,136.8986367045366,36.71787196789269,31.351683061670933,45.85598803982004,2102.7059342226476,150.8304805619547,171.400368138053,47.288901321634256,48.99987558002212,52.39392702437288,2749.9262685411873,144.55918292548222,163.96632329750085
