model,year,climate_zone,input_var,output_var,pawn_median,pawn_max,n_samples,hsic
LPJ-GUESS,2008,CW,lai,evspsblveg,0.5446404644930773,0.842920946851273,22390,0.02217631265342472
LPJ-GUESS,2008,CW,lai,tran,0.3626172398392139,0.8668155426529701,22390,0.0013303559878689534
LPJ-GUESS,2008,CW,precipitation,evapotrans,0.21027145917531243,0.5542206342117016,22390,0.014468986579776012
LPJ-GUESS,2008,CW,precipitation,evspsblsoi,0.08592900411544319,0.3797230906654757,22390,0.0007944072386862957
LPJ-GUESS,2008,CW,precipitation,evspsblveg,0.22499511500669944,0.4991960696739616,22390,0.0003537137961965458
LPJ-GUESS,2008,CW,precipitation,tran,0.18087075319994717,0.5228226887003127,22390,0.012679993222425693
LPJ-GUESS,2008,HD,lai,evapotrans,0.5259758296560517,0.8151825315011574,11876,0.0007750892898494088
LPJ-GUESS,2008,HD,lai,evspsblsoi,0.23712591896664298,0.5964407179462754,11876,0.0013303035775783958
LPJ-GUESS,2008,HD,lai,evspsblveg,0.5795243245679912,0.8221734012404271,11876,0.049718831041700835
LPJ-GUESS,2008,HD,lai,tran,0.5865524702091083,0.8638467304684887,11876,0.0009670766390694254
LPJ-GUESS,2008,HD,precipitation,evapotrans,0.5097089112750952,0.6504142695621309,11876,0.05444293023172364
LPJ-GUESS,2008,HD,precipitation,evspsblsoi,0.2851189318406161,0.4429117718103908,11876,0.003225878187279566
LPJ-GUESS,2008,HD,precipitation,evspsblveg,0.48411900525406754,0.6776080100431734,11876,0.00011717574342288051
LPJ-GUESS,2008,HD,precipitation,tran,0.4699612399934643,0.6481812624481571,11876,0.04292711694399089
LPJ-GUESS,2008,HW,lai,evapotrans,0.4335120078143573,0.730769780432167,13278,0.0008084913428654481
LPJ-GUESS,2008,HW,lai,evspsblsoi,0.13239605507434163,0.2525684527536264,13278,0.00039790389437297034
LPJ-GUESS,2008,HW,lai,evspsblveg,0.4799846698134608,0.7593888885864288,13278,0.005367047439741297
