target_output,model,x,y,relationship,descriptor_group,descriptor_metric,n_methods,mean,median,sd,iqr,local_range,global_range,robustness_score,score_type,decision
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Overall direction,net_change_norm,7,0.7152000000000001,0.7307,0.07446014593951139,0.10460000000000003,0.20090000000000008,0.4345,0.10411094230916021,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Overall direction,mean_slope_norm,7,1.0903571428571428,1.0,0.2831194203697023,0.14265000000000005,0.8954,1.0663,0.2596575096741456,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Overall direction,pos_fraction,7,0.8299714285714286,0.8889,0.1838338082280271,0.22465000000000002,0.505,0.505,0.2214941405205325,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Overall direction,neg_fraction,7,0.09395714285714286,0.0549,0.11358026320834175,0.15925,0.2843,0.3333,1.2088518206756762,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Overall direction,flat_fraction,7,0.07608571428571428,0.0076,0.18919104478957618,0.01,0.505,0.505,2.4865514711359995,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Overall direction,direction_consistency,7,0.7360142857142857,0.7778,0.23998990554168056,0.4062500000000001,0.5786,0.7777000000000001,0.32606691228659457,cv,method-sensitive
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Dominant curvature,slope_trend,7,-2.6412000000000004,-2.8326,1.118688498495746,0.9484499999999998,3.4115,4.8495,0.4235531192244986,cv,method-sensitive
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Dominant curvature,linear_deviation,7,1.2596285714285713,1.3251,0.6573983792553941,0.92155,1.7528,2.0456000000000003,0.5218985930986185,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Dominant curvature,curvature_consistency,7,0.9953142857142857,1.0,0.012353195075421911,4.999999999999449e-05,0.03269999999999995,0.11539999999999995,0.012411351120673065,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Marginal-response pattern,early_slope_norm,7,1.9070857142857143,2.0625,0.330044771854625,0.30889999999999995,0.8703000000000001,1.7539999999999998,0.17306236913333545,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Marginal-response pattern,middle_slope_norm,7,1.0310142857142859,0.953,0.16853851615749865,0.1812499999999999,0.43300000000000005,0.8452,0.16346865265861502,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Marginal-response pattern,late_slope_norm,7,0.008157142857142847,0.0187,0.541608972898169,0.22245,1.8131,2.0547,66.39689685266528,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Marginal-response pattern,middle_to_early_ratio,7,0.5602285714285714,0.4894,0.1559927104523981,0.22705000000000003,0.4013,0.715,0.27844476059944584,cv,keep
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Marginal-response pattern,late_to_early_ratio,7,0.03865714285714287,0.0085,0.3171494119871729,0.1264,1.0791,1.2614,8.204160694420581,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Marginal-response pattern,marginal_variation,7,0.9622867324002808,1.0107741109334634,0.3968746553856209,0.24925361548042235,1.2895500807173517,1.4374309936044996,0.4124286888957475,cv,method-sensitive
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Terminal behavior,terminal_slope_norm,6,0.059449999999999996,0.14395,0.8905834441533259,0.6929750000000001,2.5138,3.8123000000000005,14.980377529912968,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Terminal behavior,terminal_to_early_ratio,6,0.05933333333333333,0.0652,0.46459606828584626,0.40305,1.3090000000000002,2.0132000000000003,7.830270813806399,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Terminal behavior,terminal_to_mean_ratio,6,-0.0284807138099963,0.14241031823301742,1.1010820878776728,0.6689371110665452,3.0849704590292237,4.375649741214929,38.66062119170657,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Terminal behavior,terminal_y_range_norm,7,0.04674285714285715,0.008,0.06070968778107981,0.08355000000000001,0.1521,0.2228,1.2988013889595313,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Turning complexity,n_slope_sign_changes,7,2.5714285714285716,1.0,4.68533680244878,2.0,13.0,140.0,1.8220754231745253,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Turning complexity,n_internal_extrema,7,0.5714285714285714,1.0,0.5345224838248488,1.0,1.0,1.0,0.9354143466934854,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Turning complexity,turning_strength,7,0.04245714285714285,0.0002,0.0988522779562659,0.0156,0.2658,0.2658,2.328283801123356,cv,remove-or-redefine
T,LPJ-GUESS,P,T,LPJ-GUESS | P→T,Turning complexity,roughness_ratio,7,1.1498428571428572,1.0476,0.2649889171087655,0.13834999999999997,0.724,0.724,0.23045663628090277,cv,keep
