target_output,model,x,y,relationship,method,x_mid,local_slope,dy,abs_dy,cumulative_signed_change,cumulative_absolute_change,cumulative_absolute_fraction,scale
T,CLASSIC,P,T,CLASSIC | P→T,Equal-width bins,0.04908312324268959,2.9053499060596737,0.2852072950045272,0.2852072950045272,0.2852072950045272,0.2852072950045272,0.24163918611571356,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.017157881007130314,3.597465993864003,0.0001349747793232131,0.0001349747793232131,0.06294661185068458,0.06294661185068458,0.06161653116339696,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.017247975884523994,3.5967735505687015,0.0005131529448390432,0.0005131529448390432,0.06345976479552362,0.06345976479552362,0.062118841033422474,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.017399301462773676,3.595612502970193,0.0005752289845768338,0.0005752289845768338,0.06403499378010045,0.06403499378010045,0.06268191525794695,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01755006344482877,3.5944583728917254,0.0005087709915061467,0.0005087709915061467,0.0645437647716066,0.0645437647716066,0.06317993576662076,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.017668982241889057,3.5935499238165534,0.00034603886147810403,0.00034603886147810403,0.0648898036330847,0.0648898036330847,0.06351866272372195,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.017941440745106396,3.5914768048007657,0.0016112175574989201,0.0016112175574989201,0.06650102119058363,0.06650102119058363,0.06509583477355588,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.018267159088713278,3.589008784196009,0.0007279016450075781,0.0007279016450075781,0.0672289228355912,0.0672289228355912,0.06580835563964932,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.018468846012637454,3.5874870754012997,0.0007195054447277499,0.0007195054447277499,0.06794842828031895,0.06794842828031895,0.06651265771967968,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.018584463746272234,3.586616322627843,0.00011002209449421929,0.00011002209449421929,0.06805845037481317,0.06805845037481317,0.06662035501449431,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01871517780654803,3.5856338883483305,0.0008273935708171115,0.0008273935708171115,0.06888584394563028,0.06888584394563028,0.06743026551232346,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.018871575750549114,3.5844603650534723,0.0002940816853772843,0.0002940816853772843,0.06917992563100757,0.06917992563100757,0.06771813316395525,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.019182157510643935,3.582141562936086,0.0019312042203226132,0.0019312042203226132,0.07111112985133018,0.07111112985133018,0.06960853046296568,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.019482514025493884,3.5799087457140133,0.00022049736482315785,0.00022049736482315785,0.07133162721615334,0.07133162721615334,0.06982436865268907,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.019530540472647878,3.5795532296358656,0.00012335098051918791,0.00012335098051918791,0.07145497819667253,0.07145497819667253,0.06994511319019056,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01956137723586663,3.579325181642041,9.740648420611397e-05,9.740648420611397e-05,0.07155238468087864,0.07155238468087864,0.07004046144632609,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01959422684263753,3.5790824446012137,0.00013774302336505562,0.00013774302336505562,0.0716901277042437,0.0716901277042437,0.07017529391851451,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.01964486998640931,3.5787086324524116,0.00022474547458928296,0.00022474547458928296,0.07191487317883298,0.07191487317883298,0.07039529045417733,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.019714514373313258,3.578195370301698,0.00027368920421712295,0.00027368920421712295,0.0721885623830501,0.0721885623830501,0.07066319652385956,normalized
T,CLASSIC,P,T,CLASSIC | P→T,LOWESS,0.019767009333152993,3.5778090541414174,0.00010197422957738955,0.00010197422957738955,0.07229053661262749,0.07229053661262749,0.07076301600754398,normalized
